#  Upper Midwest Precipitation
# Units: Inches
# Missing: -99
Date,Value
198001,1.4
198002,0.67
198003,1.01
198004,1.67
198005,2.21
198006,4.17
198007,2.92
198008,6.23
198009,4.33
198010,1.82
198011,0.73
198012,1.14
198101,0.3
198102,1.77
198103,0.84
198104,3.52
198105,2.27
198106,5.18
198107,3.63
198108,4.46
198109,2.83
198110,3.34
198111,1.25
198112,1.12
198201,1.89
198202,0.42
198203,2.07
198204,2.27
198205,4.51
198206,2.84
198207,5.01
198208,3.36
198209,3.46
198210,3.47
198211,3.01
198212,2.62
198301,0.93
198302,0.92
198303,2.38
198304,2.31
198305,4.04
198306,3.88
198307,3.2
198308,3.62
198309,4.05
198310,3.05
198311,3.49
198312,1.45
198401,0.63
198402,1.07
198403,1.53
198404,3.48
198405,3.15
198406,5.54
198407,2.93
198408,2.5
198409,3.12
198410,4.65
198411,1.7
198412,2.12
198501,0.92
198502,1.27
198503,2.53
198504,2.69
198505,3.49
198506,3.15
198507,3.1
198508,4.56
198509,5.06
198510,2.82
198511,3.11
198512,1.4
198601,0.68
198602,1.22
198603,1.65
198604,3.68
198605,3.16
198606,4.49
198607,4.88
198608,3.59
198609,7.19
198610,2.47
198611,1.25
198612,0.66
198701,0.66
198702,0.31
198703,1.67
198704,1.38
198705,3.37
198706,2.28
198707,4.92
198708,4.85
198709,2.81
198710,1.52
198711,2.23
198712,1.81
198801,1.16
198802,0.53
198803,1.43
198804,1.73
198805,1.63
198806,1.55
198807,2.51
198808,4.64
198809,3.9
198810,1.76
198811,3.18
198812,1.15
198901,1.04
198902,0.56
198903,1.62
198904,1.73
198905,3.29
198906,3.4
198907,2.61
198908,3.8
198909,2.9
198910,1.72
198911,1.31
198912,0.59
199001,1
199002,0.95
199003,2.81
199004,2.44
199005,3.94
199006,6.19
199007,3.89
199008,3.81
199009,2.59
199010,2.86
199011,1.56
199012,1.49
199101,0.76
199102,0.64
199103,2.81
199104,4.22
199105,4.56
199106,3.78
199107,4.07
199108,2.67
199109,3.91
199110,3.13
199111,3.75
199112,1.27
199201,0.96
199202,1
199203,1.79
199204,2.8
199205,1.82
199206,2.67
199207,5.33
199208,3.27
199209,4.51
199210,1.66
199211,3.39
199212,1.67
199301,1.45
199302,0.64
199303,1.42
199304,3.44
199305,4.4
199306,6.37
199307,6.12
199308,5.22
199309,3.21
199310,1.56
199311,1.64
199312,0.79
199401,1.3
199402,0.97
199403,0.75
199404,3.1
199405,1.93
199406,4.77
199407,4.46
199408,3.96
199409,3.63
199410,2.22
199411,2.24
199412,0.73
199501,1.05
199502,0.52
199503,2.11
199504,3.12
199505,3.71
199506,2.58
199507,4.19
199508,4.83
199509,2.63
199510,3.68
199511,1.96
199512,1.02
199601,2.02
199602,0.8
199603,1.26
199604,2.03
199605,3.82
199606,4.89
199607,3.58
199608,2.75
199609,2.96
199610,3.26
199611,2.57
199612,1.7
199701,1.87
199702,1.27
199703,1.63
199704,1.54
199705,3.11
199706,3.82
199707,4.09
199708,3.38
199709,2.89
199710,2.48
199711,1.09
199712,0.71
199801,1.58
199802,1.37
199803,3.02
199804,2.42
199805,3.44
199806,5.57
199807,2.56
199808,3.78
199809,2.07
199810,3.73
199811,1.81
199812,0.83
199901,1.89
199902,0.94
199903,0.92
199904,3.98
199905,4.5
199906,4.4
199907,5.8
199908,3.34
199909,2.61
199910,1.24
199911,0.88
199912,0.92
200001,1
200002,1.25
200003,1.29
200004,2.01
200005,4
200006,5.5
200007,3.9
200008,3.21
200009,2.71
200010,1.62
200011,2.82
200012,1.59
